time,velocity,altitude,velocity_y,velocity_x,acceleration,downrange_distance,angle,q,propellant,mass flow rate,thrust,mass
102,776.944,27.402,700.101,334.27,24.68,8.611,64.62,6146.389701,250474.3223,2559.627128,6645236.461,282774.3223
103,793.333,28.083,714.085,342.365,24.86,8.949,64.553,5381.232361,247920.3052,2554.017094,6631123.74,280220.3052
104,809.444,28.825,727.14,350.33,24.975,9.295,64.521,4590.715409,245379.1546,2541.150597,6598362.36,277679.1546
105,824.166,29.494,742.621,358.147,25.183,9.65,64.369,3945.437923,242840.9909,2538.163714,6590939.413,275140.9909
106,842.222,30.301,758.647,365.507,25.453,10.011,64.302,3247.451075,240299.7412,2541.249734,6599150.512,272599.7412
107,859.444,31.105,774.058,372.249,25.851,10.38,64.299,2630.226363,237742.5874,2557.153759,6640277.429,270042.5874
108,875.833,31.85,792.003,378.792,26.188,10.756,64.299,2134.234716,235176.6686,2565.918866,6663018.092,267476.6686
109,893.333,32.65,807.63,385.472,26.433,11.138,64.299,1674.885627,232612.1166,2564.551946,6659715.135,264912.1166
110,911.388,33.505,821.548,392.453,26.556,11.527,64.299,1261.265051,230061.713,2550.403595,6623557.375,262361.713
111,929.166,34.35,837.132,399.77,26.681,11.923,64.367,927.7630288,227525.304,2536.409004,6587773.112,259825.304
112,946.944,35.15,856.444,407.429,26.869,12.327,64.469,675.2658904,224996.688,2528.616005,6567901.256,257296.688
113,965.833,36.05,871.921,415.212,27.087,12.738,64.531,452.8259912,222473.2131,2523.474926,6554847.527,254773.2131
114,984.166,36.95,887.651,423.22,27.303,13.157,64.535,288.1388863,219955.406,2517.80706,6540423.878,252255.406
115,1003.333,37.85,904.724,431.264,27.425,13.584,64.55,172.1886227,217452.6304,2502.775623,6501921.4,249752.6304
116,1021.944,38.793,923.95,439.4,27.547,14.02,64.572,91.45035448,214964.944,2487.686405,6463262.649,247264.944
117,1040.555,39.672,940.185,447.634,27.637,14.463,64.572,45.45988148,212495.39,2469.554002,6416763.218,244795.39
118,1060.555,40.65,956.802,456.397,27.882,14.915,64.573,17.32060664,210029.486,2465.903979,6407483.176,242329.486
119,1081.388,41.687,976.335,465.6,28.25,15.376,64.592,4.405087569,207556.2887,2473.197284,6426321.558,239856.2887
120,1099.722,42.618,994.713,474.927,28.803,15.846,64.592,0.717149886,205059.6371,2496.651616,6486674.749,237359.6371
121,1121.666,43.702,1009.805,483.982,29.388,16.326,64.592,0.010524617,202537.9731,2521.663984,6551034.619,234837.9731
122,1140.833,44.65,1029.313,492.883,29.881,16.814,64.613,0,200000.8995,2537.073661,6590698.015,232300.8995
123,1161.944,45.687,1049.208,501.075,30.222,17.311,64.676,0,197462.9847,2537.914801,6592918.611,229762.9847
124,1184.166,46.815,1067.139,508.266,30.382,17.816,64.778,0,194940.7144,2522.270302,6552768.575,227240.7144
125,1205.833,47.914,1084.734,513.883,30.515,18.327,64.957,0,192436.5296,2504.184797,6506336.914,224736.5296
126,1227.5,49.011,1108.66,517.816,30.651,18.843,65.194,0,189950.2032,2486.326345,6460482.833,222250.2032
127,1248.333,50.05,1133.189,520.065,30.973,19.362,65.464,0,187466.051,2484.152276,6454930.639,219766.051
128,1271.666,51.25,1158.525,521.718,31.357,19.883,65.668,0,184979.4838,2486.567126,6461172.374,217279.4838
129,1295,52.488,1183.029,524.105,31.8,20.406,65.912,0,182486.3858,2493.098008,6477988.501,214786.3858
130,1317.222,53.65,1210.408,528.387,32.149,20.932,66.082,0,179995.3418,2491.044026,6472735.62,212295.3418
131,1341.388,54.92,1237.326,535.066,32.46,21.464,66.187,0,177510.0545,2485.28726,6457965.201,209810.0545
132,1364.722,56.15,1258.742,543.867,32.769,22.003,66.191,0,175031.1955,2478.85901,6441465.03,207331.1955
133,1389.166,57.401,1278.195,554.325,33.015,22.552,66.242,0,172564.224,2466.971516,6410932.107,204864.224
134,1414.444,58.804,1297.064,565.76,33.233,23.112,66.317,0,170111.6297,2452.594286,6373999.82,202411.6297
135,1439.166,60.073,1315.755,577.571,33.42,23.684,66.414,0,167676.0108,2435.618892,6330386.327,199976.0108
136,1463.333,61.35,1330.245,589.133,33.699,24.267,66.502,0,165250.5134,2425.497414,6304385.612,197550.5134
137,1490.555,62.838,1345.338,599.617,34.008,24.862,66.546,0,162833.2768,2417.23663,6283166.758,195133.2768
138,1513.055,64.025,1377.417,608.321,34.252,25.466,66.557,0,160429.5676,2403.709177,6248408.934,192729.5676
139,1538.611,65.45,1410.024,614.352,34.372,26.077,66.558,0,158048.7201,2380.847506,6189662.392,190348.7201
140,1564.444,66.98,1439.967,617.561,34.401,26.693,66.562,0,155697.2177,2351.502455,6114252.777,187997.2177
141,1590,68.45,1468.664,618.315,34.296,27.311,66.628,0,153384.2751,2312.94259,6015159.688,185684.2751
142,1614.593,69.912,1496.481,617.709,34.012,27.929,66.823,0,151121.805,2262.47011,5885450.23,183421.805
143,1641.111,71.45,1507.232,616.766,33.458,28.546,67.148,0,148927.4515,2194.353483,5710394.742,181227.4515
144,1665,73.001,1517.066,615.678,26.636,29.162,67.396,0,147231.7446,1695.706858,4428876.478,179531.7446
145,1669.722,74.45,1524.933,614.287,16.399,29.777,67.608,0,147231.7446,0,0,179531.7446
146,1663.611,76.05,1529.75,612.163,6.045,30.391,67.739,0,147231.7446,0,0,156731.7446
147,1655.277,77.614,1531.163,609.603,1.815,31.001,67.826,0,147231.7446,0,0,156731.7446
148,1648.055,79.05,1528.245,606.92,0.994,31.61,67.87,0,147231.7446,0,0,156731.7446
149,1639.166,80.65,1522.384,604.351,0.5,32.215,67.932,0,147231.7446,0,0,156731.7446
150,1630.277,82.15,1515.717,601.999,0.191,32.818,68.026,0,147231.7446,0,0,156731.7446
151,1621.944,83.65,1508.034,600.006,0.068,33.419,68.059,0,147231.7446,0,0,156731.7446
152,1612.777,85.15,1499.896,598.341,0.067,34.019,68.144,0,147231.7446,0,0,156731.7446
153,1603.888,86.65,1493.254,596.937,0.314,34.616,68.146,0,147231.7446,0,0,156731.7446
154,1595,88.15,1487.608,595.82,0.925,35.213,68.146,0,147231.7446,0,0,156731.7446
155,1587.866,89.583,1481.748,595.215,2.629,35.808,68.146,0,109905.5086,94.49136782,316546.0822,119405.5086
156,1584.349,91.104,1475.885,595.436,4.627,36.404,68.146,0,109739.4346,166.0739893,556347.8641,119239.4346
157,1582.5,92.45,1470.941,596.551,6.45,37,68.08,0,109508.3737,231.0608987,774054.0107,119008.3737
158,1580.972,93.999,1466.612,598.96,7.202,37.597,67.86,0,109250.9271,257.44662,862446.1771,118750.9271
159,1579.722,95.45,1462.339,602.857,7.535,38.198,67.67,0,108982.1814,268.7457423,900298.2367,118482.1814
160,1578.65,96.95,1458.279,608.375,7.711,38.804,67.426,0,108707.79,274.3914234,919211.2684,118207.79
161,1577.777,98.35,1454.354,615.081,7.821,39.416,67.108,0,108430.1325,277.6574824,930152.5661,117930.1325
162,1576.861,99.837,1450.123,622.467,7.871,40.034,66.802,0,108151.3549,278.7775566,933904.8146,117651.3549
163,1575.995,101.408,1444.743,630.015,7.894,40.661,66.483,0,107872.42,278.9348907,934431.8837,117372.42
164,1575.166,102.661,1438.843,637.162,7.907,41.294,66.347,0,107593.6837,278.7363453,933766.7569,117093.6837
165,1574.388,104.147,1432.468,643.297,7.929,41.934,66.216,0,107314.8318,278.851881,934153.8014,116814.8318
166,1573.611,105.553,1426.977,648.019,7.955,42.58,66.189,0,107035.7283,279.1034981,934996.7187,116535.7283
167,1572.892,107.059,1422.67,651.46,7.989,43.23,66.138,0,106756.0988,279.6295442,936758.973,116256.0988
168,1572.222,108.41,1420.317,653.942,8.026,43.882,66.131,0,106475.8456,280.2531751,938848.1367,115975.8456
169,1571.642,109.706,1419.035,655.993,8.082,44.537,66.131,0,106194.3162,281.5293921,943123.4635,115694.3162
170,1571.003,111.281,1419.361,657.62,8.162,45.194,66.131,0,105910.6911,283.6250928,950144.0608,115410.6911
171,1570.593,112.662,1421.247,659.013,8.262,45.853,66.138,0,105624.2974,286.3937149,959418.945,115124.2974
172,1570.305,114.284,1427.768,660.43,8.353,46.512,66.186,0,105335.4694,288.827963,967573.6761,114835.4694
173,1570.043,115.649,1433.991,661.735,8.412,47.173,66.186,0,105045.3299,290.1394971,971967.3153,114545.3299
174,1569.801,117.074,1437.6,662.659,8.444,47.836,66.186,0,104754.819,290.5109527,973211.6914,114254.819
175,1569.59,118.411,1439.33,662.651,8.466,48.498,66.186,0,104464.2853,290.5336238,973287.6398,113964.2853
176,1569.402,119.808,1438.935,661.694,8.48,49.16,66.17,0,104174.0061,290.2792751,972435.5715,113674.0061
177,1569.245,121.352,1432.516,659.861,8.492,49.821,65.713,0,103884.051,289.9550333,971349.3614,113384.051
178,1569.132,122.846,1425.262,657.327,8.505,50.48,65.395,0,103594.3875,289.6635122,970372.7659,113094.3875
179,1569.065,124.188,1419.746,654.437,8.523,51.136,65.395,0,103304.8476,289.5399153,969958.7162,112804.8476
180,1568.998,125.655,1415.78,651.704,8.549,51.789,65.395,0,103015.1637,289.6839207,970441.1344,112515.1637
181,1568.931,127.073,1413.326,649.603,8.58,52.439,65.392,0,102725.1721,289.9916347,971471.9763,112225.1721
182,1569.041,128.408,1415.003,648.433,8.621,53.088,65.389,0,102434.5426,290.6294602,973608.6917,111934.5426
183,1569.213,129.762,1418.985,648.267,8.652,53.737,65.389,0,102143.6194,290.9231628,974592.5953,111643.6194
184,1569.28,131.242,1424.329,648.711,8.675,54.385,65.392,0,101852.6763,290.9431245,974659.467,111352.6763
185,1569.348,132.709,1429.901,649.532,8.688,55.034,65.459,0,101562.0509,290.6254025,973595.0983,111062.0509
186,1569.415,134.164,1434.09,650.421,8.701,55.684,65.459,0,101271.7447,290.3062538,972525.9502,110771.7447
187,1569.53,135.553,1434.755,651.173,8.72,56.335,65.459,0,100981.5598,290.1848363,972119.2016,110481.5598
188,1569.682,137.091,1433.715,651.676,8.747,56.987,65.592,0,100691.2345,290.3252921,972589.7284,110191.2345
189,1569.883,138.408,1432.355,651.875,8.784,57.638,65.592,0,100400.4436,290.7908946,974149.4969,109900.4436
190,1570.125,139.888,1430.762,652.019,8.82,58.29,65.592,0,100109.2277,291.2159368,975573.3883,109609.2277
191,1570.406,141.314,1429.613,652.275,8.85,58.942,65.592,0,99817.79114,291.4365527,976312.4516,109317.7911
192,1570.709,142.695,1428.991,652.851,8.871,59.595,65.401,0,99526.43457,291.3565675,976044.5011,109026.4346
193,1571.061,144.179,1428.841,653.902,8.888,60.248,65.149,0,99235.2921,291.1424705,975327.2762,108735.2921
194,1571.441,145.55,1428.721,655.482,8.906,60.903,64.949,0,98944.33353,290.9585774,974711.2344,108444.3335
195,1571.856,146.982,1427.827,657.576,8.929,61.56,64.749,0,98653.39899,290.9345372,974630.6996,108153.399
196,1572.33,148.398,1426.927,660.222,8.951,62.218,64.628,0,98362.52482,290.8741671,974428.4597,107862.5248
197,1572.823,149.884,1426.028,663.448,8.972,62.88,64.553,0,98071.747,290.7778251,974105.7141,107571.747
198,1573.316,151.313,1425.187,667.217,8.992,63.546,64.546,0,97781.10113,290.6458691,973663.6613,107281.1011
199,1573.888,152.682,1423.686,671.403,9.019,64.215,64.494,0,97490.36528,290.7358521,973965.1044,106990.3653
200,1574.444,154.043,1422.244,675.831,9.042,64.889,64.371,0,97199.67261,290.6926686,973820.4397,106699.6726
201,1575.107,155.451,1420.801,680.32,9.064,65.567,64.114,0,96909.05896,290.6136449,973555.7104,106409.059
202,1575.748,156.934,1419.184,684.737,9.075,66.249,63.871,0,96618.87872,290.1802461,972103.8243,106118.8787
203,1576.428,158.357,1417.393,688.976,9.087,66.936,63.668,0,96329.10079,289.7779221,970756.0389,105829.1008
204,1577.139,159.79,1415.982,692.966,9.098,67.627,63.614,0,96039.75789,289.3429007,969298.7173,105539.7579
205,1577.87,161.17,1415.292,696.646,9.116,68.322,63.589,0,95750.62931,289.1285782,968580.7368,105250.6293
206,1578.611,162.628,1414.602,700.039,9.134,69.02,63.584,0,95461.71758,288.9117398,967854.3283,104961.7176
207,1579.413,163.904,1414.254,703.206,9.154,69.722,63.57,0,95172.96226,288.7553124,967330.2966,104672.9623
208,1580.202,165.413,1413.865,706.233,9.175,70.426,63.49,0,94884.33502,288.6272459,966901.2738,104384.335
209,1581.028,166.742,1413.602,709.169,9.202,71.134,63.267,0,94595.65138,288.683637,967090.184,104095.6514
210,1582,168.219,1413.079,712.084,9.238,71.845,63.081,0,94306.63535,289.0160291,968203.6974,103806.6354
211,1582.917,169.645,1412.51,715.051,9.274,72.558,62.928,0,94017.29404,289.3413089,969293.3849,103517.294
212,1583.923,171.038,1411.729,718.075,9.307,73.275,62.9,0,93727.72764,289.5664063,970047.4611,103227.7276
213,1585,172.5,1411.162,721.12,9.334,73.995,62.897,0,93438.12809,289.5995485,970158.4876,102938.1281
214,1586.007,173.879,1410.811,724.063,9.362,74.717,62.864,0,93148.46929,289.6587969,970356.9695,102648.4693
215,1587.103,175.27,1410.742,726.774,9.385,75.443,62.845,0,92858.91007,289.5592152,970023.3711,102358.9101
216,1588.254,176.677,1410.813,729.094,9.409,76.17,62.754,0,92569.42345,289.4866284,969780.2052,102069.4234
217,1589.365,178.043,1411.023,731.024,9.436,76.901,62.584,0,92279.92155,289.5018925,969831.3398,101779.9216
218,1590.595,179.5,1411.303,732.669,9.472,77.632,62.456,0,91990.13452,289.7870311,970786.5542,101490.1345
219,1591.898,180.91,1411.896,734.278,9.506,78.366,62.349,0,91700.13021,290.0043098,971514.4378,101200.1302
220,1593.167,182.31,1412.779,736.03,9.54,79.101,62.317,0,91409.91511,290.2151015,972220.5902,100909.9151
221,1594.491,183.75,1413.949,738.086,9.569,79.838,62.307,0,91119.64693,290.2681795,972398.4015,100619.6469
222,1595.88,185.188,1414.713,740.467,9.597,80.577,62.282,0,90829.361,290.2859336,972457.8775,100329.361
223,1597.279,186.546,1414.784,743.276,9.619,81.319,62.173,0,90539.24265,290.1183508,971896.475,100039.2426
224,1598.704,187.945,1413.85,746.616,9.636,82.064,62.023,0,90249.44514,289.7975085,970821.6534,99749.44514
225,1600.231,189.41,1412.985,750.717,9.651,82.813,61.803,0,89960.03029,289.4148514,969539.7523,99460.03029
226,1601.713,190.799,1411.982,755.617,9.665,83.566,61.637,0,89671.02939,289.0008952,968152.9991,99171.02939
227,1603.333,192.22,1411.535,761.204,9.684,84.324,61.49,0,89382.29502,288.7343716,967260.145,98882.29502
